Column1.id;Column1.current_event_fixture;Column1.next_event_fixture;Column1.name;Column1.code;Column1.short_name;Column1.unavailable;Column1.strength;Column1.position;Column1.played;Column1.win;Column1.loss;Column1.draw;Column1.points;Column1.form;Column1.link_url;Column1.strength_overall_home;Column1.strength_overall_away;Column1.strength_attack_home;Column1.strength_attack_away;Column1.strength_defence_home;Column1.strength_defence_away;Column1.team_division
1;[List];[List];Arsenal;3;ARS;FALSKT;4;0;0;0;0;0;0;;;1250;1320;1240;1290;1260;1320;1
2;[List];[List];Bournemouth;91;BOU;FALSKT;3;0;0;0;0;0;0;;;1100;1130;1040;1070;1070;1120;1
3;[List];[List];Brighton;36;BHA;FALSKT;2;0;0;0;0;0;0;;;1040;1100;1050;1080;1030;1100;1
4;[List];[List];Burnley;90;BUR;FALSKT;3;0;0;0;0;0;0;;;1130;1130;1110;1150;1050;1090;1
5;[List];[List];Cardiff;97;CAR;FALSKT;2;0;0;0;0;0;0;;;1020;1080;1030;1080;1000;1070;1
6;[List];[List];Chelsea;8;CHE;FALSKT;4;0;0;0;0;0;0;;;1260;1290;1250;1290;1280;1300;1
7;[List];[List];Crystal Palace;31;CRY;FALSKT;3;0;0;0;0;0;0;;;1090;1120;1070;1110;1080;1130;1
8;[List];[List];Everton;11;EVE;FALSKT;3;0;0;0;0;0;0;;;1080;1150;1070;1160;1060;1160;1
9;[List];[List];Fulham;54;FUL;FALSKT;2;0;0;0;0;0;0;;;1010;1070;1030;1050;1020;1080;1
10;[List];[List];Huddersfield;38;HUD;FALSKT;2;0;0;0;0;0;0;;;1030;1060;1040;1050;1000;1040;1
11;[List];[List];Leicester;13;LEI;FALSKT;3;0;0;0;0;0;0;;;1140;1180;1110;1200;1150;1180;1
12;[List];[List];Liverpool;14;LIV;FALSKT;5;0;0;0;0;0;0;;;1330;1340;1270;1300;1300;1330;1
13;[List];[List];Man City;43;MCI;FALSKT;5;0;0;0;0;0;0;;;1340;1350;1300;1310;1320;1340;1
14;[List];[List];Man Utd;1;MUN;FALSKT;4;0;0;0;0;0;0;;;1310;1320;1290;1330;1270;1300;1
15;[List];[List];Newcastle;4;NEW;FALSKT;3;0;0;0;0;0;0;;;1100;1150;1070;1200;1060;1100;1
16;[List];[List];Southampton;20;SOU;FALSKT;2;0;0;0;0;0;0;;;1040;1090;1030;1080;1030;1080;1
17;[List];[List];Spurs;6;TOT;FALSKT;5;0;0;0;0;0;0;;;1330;1330;1300;1300;1310;1330;1
18;[List];[List];Watford;57;WAT;FALSKT;2;0;0;0;0;0;0;;;1030;1100;1030;1090;1050;1100;1
19;[List];[List];West Ham;21;WHU;FALSKT;3;0;0;0;0;0;0;;;1090;1110;1050;1120;1140;1130;1
20;[List];[List];Wolves;39;WOL;FALSKT;2;0;0;0;0;0;0;;;1040;1090;1040;1080;1030;1090;1
